,Arrival Time (hr),Pressurization Time (hr),Satisfaction Time (hr)
StorageforNode1,0.058333333333333334,0.25,3.563888888888889
StorageforNode2,0.12777777777777777,,
StorageforNode3,0.2833333333333333,,
StorageforNode4,0.16944444444444445,,
StorageforNode5,0.30833333333333335,,
StorageforNode6,0.38055555555555554,,
StorageforNode7,0.3638888888888889,,
StorageforNode8,0.2388888888888889,,
StorageforNode9,0.20833333333333334,,
StorageforNode10,0.11388888888888889,,
StorageforNode11,0.05,0.07222222222222222,2.7416666666666667
StorageforNode12,0.125,0.5555555555555556,
StorageforNode13,0.18611111111111112,,
StorageforNode14,0.15555555555555556,0.5361111111111111,
StorageforNode15,0.19444444444444445,,
StorageforNode16,0.06388888888888888,0.32222222222222224,3.7583333333333333
StorageforNode17,0.075,0.4222222222222222,3.9611111111111112
StorageforNode18,0.019444444444444445,0.03611111111111111,2.4972222222222222
StorageforNode20,0.016666666666666666,0.030555555555555555,2.7777777777777777
StorageforNode21,0.03611111111111111,0.07222222222222222,3.2888888888888888
StorageforNode22,0.08055555555555556,3.297222222222222,
StorageforNode23,0.14722222222222223,,
StorageforNode24,0.5694444444444444,,
StorageforNode25,0.8333333333333334,,
StorageforNode26,0.48333333333333334,,
StorageforNode27,0.49722222222222223,,
StorageforNode28,0.7222222222222222,,
StorageforNode29,0.6055555555555555,,
StorageforNode30,0.49444444444444446,,
StorageforNode31,0.44722222222222224,,
StorageforNode32,0.5166666666666667,,
StorageforNode33,0.20555555555555555,,
StorageforNode34,0.125,3.852777777777778,
StorageforNode35,0.10555555555555556,2.263888888888889,
StorageforNode36,0.8222222222222222,,
StorageforNode37,1.1194444444444445,,
StorageforNode38,0.5972222222222222,,
StorageforNode39,0.44722222222222224,,
StorageforNode40,0.2111111111111111,,
StorageforNode41,0.07777777777777778,,
StorageforNode42,0.21388888888888888,,
StorageforNode43,0.1361111111111111,,
StorageforNode44,0.09444444444444444,2.852777777777778,
StorageforNode45,0.07777777777777778,2.675,
StorageforNode46,0.04722222222222222,0.21388888888888888,3.647222222222222
